Year,Quarter,Month,Day,Order Period,order_id,time
2015,Qtr 1,January,1,Dinner,65,1899-12-30 21:16:00
2015,Qtr 1,January,1,Dinner,66,1899-12-30 21:47:55
2015,Qtr 1,January,1,Dinner,67,1899-12-30 22:03:40
2015,Qtr 1,January,1,Dinner,68,1899-12-30 22:07:32
2015,Qtr 1,January,1,Dinner,69,1899-12-30 22:12:13
2015,Qtr 1,January,1,Lunch,3,1899-12-30 12:12:28
2015,Qtr 1,January,1,Lunch,4,1899-12-30 12:16:31
2015,Qtr 1,January,1,Lunch,5,1899-12-30 12:21:30
2015,Qtr 1,January,1,Lunch,6,1899-12-30 12:29:36
2015,Qtr 1,January,1,Lunch,7,1899-12-30 12:50:37
2015,Qtr 1,January,1,Lunch,8,1899-12-30 12:51:37
2015,Qtr 1,January,1,Lunch,9,1899-12-30 12:52:01
2015,Qtr 1,January,1,Lunch,10,1899-12-30 13:00:15
2015,Qtr 1,January,1,Lunch,11,1899-12-30 13:02:59
2015,Qtr 1,January,1,Lunch,12,1899-12-30 13:04:41
2015,Qtr 1,January,1,Lunch,13,1899-12-30 13:11:55
2015,Qtr 1,January,1,Lunch,14,1899-12-30 13:14:19
2015,Qtr 1,January,1,Lunch,15,1899-12-30 13:33:00
2015,Qtr 1,January,1,Lunch,16,1899-12-30 13:34:07
2015,Qtr 1,January,1,Lunch,17,1899-12-30 13:53:00
2015,Qtr 1,January,1,Lunch,18,1899-12-30 13:57:08
2015,Qtr 1,January,1,Lunch,19,1899-12-30 13:59:09
2015,Qtr 1,January,1,Lunch,20,1899-12-30 14:03:08
2015,Qtr 1,January,1,Lunch,21,1899-12-30 14:14:29
2015,Qtr 1,January,1,Lunch,22,1899-12-30 14:16:26
2015,Qtr 1,January,1,Lunch,23,1899-12-30 14:19:03
2015,Qtr 1,January,1,Lunch,24,1899-12-30 14:23:01
2015,Qtr 1,January,1,Lunch,25,1899-12-30 14:44:44
2015,Qtr 1,January,1,Lunch,26,1899-12-30 14:54:26
2015,Qtr 1,January,1,Morning,1,1899-12-30 11:38:36
2015,Qtr 1,January,1,Morning,2,1899-12-30 11:57:40
2015,Qtr 1,January,1,Other,27,1899-12-30 15:11:17
2015,Qtr 1,January,1,Other,28,1899-12-30 15:35:46
