Highest Selling Pizza Size,pizza_id,pizza_type_id,Sum of price,size,Total Size
L,bbq_ckn_l,bbq_ckn,20.75,L,1
M,bbq_ckn_m,bbq_ckn,16.75,M,1
S,bbq_ckn_s,bbq_ckn,12.75,S,1
L,big_meat_l,big_meat,20.5,L,1
M,big_meat_m,big_meat,16,M,1
S,big_meat_s,big_meat,12,S,1
S,brie_carre_s,brie_carre,23.65,S,1
L,calabrese_l,calabrese,20.25,L,1
M,calabrese_m,calabrese,16.25,M,1
S,calabrese_s,calabrese,12.25,S,1
L,cali_ckn_l,cali_ckn,20.75,L,1
M,cali_ckn_m,cali_ckn,16.75,M,1
S,cali_ckn_s,cali_ckn,12.75,S,1
L,ckn_alfredo_l,ckn_alfredo,20.75,L,1
M,ckn_alfredo_m,ckn_alfredo,16.75,M,1
S,ckn_alfredo_s,ckn_alfredo,12.75,S,1
L,ckn_pesto_l,ckn_pesto,20.75,L,1
M,ckn_pesto_m,ckn_pesto,16.75,M,1
S,ckn_pesto_s,ckn_pesto,12.75,S,1
L,classic_dlx_l,classic_dlx,20.5,L,1
M,classic_dlx_m,classic_dlx,16,M,1
S,classic_dlx_s,classic_dlx,12,S,1
L,five_cheese_l,five_cheese,18.5,L,1
M,five_cheese_m,five_cheese,15.5,M,1
S,five_cheese_s,five_cheese,12.5,S,1
L,four_cheese_l,four_cheese,17.95,L,1
M,four_cheese_m,four_cheese,14.75,M,1
S,four_cheese_s,four_cheese,11.75,S,1
L,green_garden_l,green_garden,20.25,L,1
M,green_garden_m,green_garden,16,M,1
S,green_garden_s,green_garden,12,S,1
L,hawaiian_l,hawaiian,16.5,L,1
M,hawaiian_m,hawaiian,13.25,M,1
S,hawaiian_s,hawaiian,10.5,S,1
L,ital_cpcllo_l,ital_cpcllo,20.5,L,1
M,ital_cpcllo_m,ital_cpcllo,16,M,1
S,ital_cpcllo_s,ital_cpcllo,12,S,1
L,ital_supr_l,ital_supr,20.75,L,1
M,ital_supr_m,ital_supr,16.5,M,1
S,ital_supr_s,ital_supr,12.5,S,1
L,ital_veggie_l,ital_veggie,21,L,1
M,ital_veggie_m,ital_veggie,16.75,M,1
S,ital_veggie_s,ital_veggie,12.75,S,1
L,mediterraneo_l,mediterraneo,20.25,L,1
M,mediterraneo_m,mediterraneo,16,M,1
S,mediterraneo_s,mediterraneo,12,S,1
L,mexicana_l,mexicana,20.25,L,1
M,mexicana_m,mexicana,16,M,1
S,mexicana_s,mexicana,12,S,1
L,napolitana_l,napolitana,20.5,L,1
M,napolitana_m,napolitana,16,M,1
S,napolitana_s,napolitana,12,S,1
L,pep_msh_pep_l,pep_msh_pep,17.5,L,1
M,pep_msh_pep_m,pep_msh_pep,14.5,M,1
S,pep_msh_pep_s,pep_msh_pep,11,S,1
L,pepperoni_l,pepperoni,15.25,L,1
M,pepperoni_m,pepperoni,12.5,M,1
S,pepperoni_s,pepperoni,9.75,S,1
L,peppr_salami_l,peppr_salami,20.75,L,1
M,peppr_salami_m,peppr_salami,16.5,M,1
S,peppr_salami_s,peppr_salami,12.5,S,1
L,prsc_argla_l,prsc_argla,20.75,L,1
M,prsc_argla_m,prsc_argla,16.5,M,1
S,prsc_argla_s,prsc_argla,12.5,S,1
L,sicilian_l,sicilian,20.25,L,1
M,sicilian_m,sicilian,16.25,M,1
S,sicilian_s,sicilian,12.25,S,1
L,soppressata_l,soppressata,20.75,L,1
M,soppressata_m,soppressata,16.5,M,1
S,soppressata_s,soppressata,12.5,S,1
L,southw_ckn_l,southw_ckn,20.75,L,1
M,southw_ckn_m,southw_ckn,16.75,M,1
S,southw_ckn_s,southw_ckn,12.75,S,1
L,spicy_ital_l,spicy_ital,20.75,L,1
M,spicy_ital_m,spicy_ital,16.5,M,1
S,spicy_ital_s,spicy_ital,12.5,S,1
L,spin_pesto_l,spin_pesto,20.75,L,1
M,spin_pesto_m,spin_pesto,16.5,M,1
S,spin_pesto_s,spin_pesto,12.5,S,1
L,spinach_fet_l,spinach_fet,20.25,L,1
M,spinach_fet_m,spinach_fet,16,M,1
S,spinach_fet_s,spinach_fet,12,S,1
L,spinach_supr_l,spinach_supr,20.75,L,1
M,spinach_supr_m,spinach_supr,16.5,M,1
S,spinach_supr_s,spinach_supr,12.5,S,1
L,thai_ckn_l,thai_ckn,20.75,L,1
M,thai_ckn_m,thai_ckn,16.75,M,1
S,thai_ckn_s,thai_ckn,12.75,S,1
L,the_greek_l,the_greek,20.5,L,1
M,the_greek_m,the_greek,16,M,1
S,the_greek_s,the_greek,12,S,1
XL,the_greek_xl,the_greek,25.5,XL,1
XXL,the_greek_xxl,the_greek,35.95,XXL,1
L,veggie_veg_l,veggie_veg,20.25,L,1
M,veggie_veg_m,veggie_veg,16,M,1
S,veggie_veg_s,veggie_veg,12,S,1
